Name,Año,Proyectado ZIPs,Steamer,Real
Orlando Arcia,2023,0.689569752,0.712437544,0.740907482
Alan Trejo,2023,0.728516938,0.70058047,NA
Franmil Reyes,2023,0.766611542,0.733054933,NA
Brett Sullivan,2023,0.651674628,0.616740524,NA
Kevin Smith,2023,0.616582551,0.632132433,NA
Coco Montes,2023,0.718115985,0.68553638,NA
Yan Gomes,2023,0.680676443,0.684029429,0.723412762
Nick Madrigal,2023,0.668282385,0.696135336,0.663270536
Brett Harris,2023,0.651586132,0.647620035,NA
Robbie Grossman,2023,0.705678729,0.676371366,0.734243895
Peyton Burdick,2023,0.685782557,0.651563783,NA
Keston Hiura,2023,0.767525595,0.685595626,NA
Nick Maton,2023,0.670880282,0.657192465,0.592892115
Will Brennan,2023,0.687592543,0.725938089,0.655382579
Ben DeLuzio,2023,0.654067557,0.633445924,NA
Darick Hall,2023,0.733110176,0.731518518,NA
Stuart Fairchild,2023,0.738149722,0.688443175,0.709556424
Juan Centeno,2023,0.64595916,0.615568057,NA
Dominic Fletcher,2023,0.678287698,0.674342657,NA
Mitchell Tolman,2023,0.66495421,0.627302128,NA
Luis Campusano,2023,0.672745224,0.691147347,NA
Jarred Kelenic,2023,0.709294913,0.693226826,0.746277914
Zach McKinstry,2023,0.725131516,0.679677189,0.653618684
Jake Rogers,2023,0.654998372,0.653958609,0.729823046
Ji Hwan Bae,2023,0.686341211,0.704594194,0.607572897
Eguy Rosario,2023,0.678286546,0.669335707,NA
Kyle Higashioka,2023,0.67475761,0.690601625,0.687354414
Daniel Vogelbach,2023,0.747323393,0.755227744,0.742194356
Mason McCoy,2023,0.596238437,0.56032652,NA
Terrin Vavra,2023,0.697306356,0.68542062,NA
Trey Mancini,2023,0.735355462,0.728475955,0.635020786
Bryan Ramos,2023,0.659644195,0.654230413,NA
Randal Grichuk,2023,0.760959669,0.75501473,0.779119824
Tyler Gentry,2023,0.73471245,0.712942767,NA
Greg Allen,2023,0.710245613,0.640023154,NA
Christian Arroyo,2023,0.741885201,0.73057068,NA
Jordan Walker,2023,0.679371007,0.699306044,0.787173578
Jordan Luplow,2023,0.757816971,0.721293249,NA
Victor Caratini,2023,0.666828113,0.685092031,NA
Taylor Jones,2023,0.736763437,0.67298843,NA
Connor Hollis,2023,0.651937448,0.644108162,NA
Jonah Bride,2023,0.676982097,0.679927672,NA
Luis Barrera,2023,0.652406417,0.641317304,NA
Armando Alvarez,2023,0.675427678,0.63907461,NA
Isan Diaz,2023,0.713535918,0.652185175,NA
Yohel Pozo,2023,0.67638484,0.661695339,NA
Dairon Blanco,2023,0.683631453,0.655783165,NA
Yonathan Daza,2023,0.726730533,0.711535648,NA
Zack Short,2023,0.6369606,0.608990028,0.631366515
Jose Herrera,2023,0.630345769,0.62163741,NA
Justin Dirden,2023,0.719225621,0.672834921,NA
Ripken Reyes,2023,0.634720396,0.58660259,NA
Jared Walsh,2023,0.758578607,0.745048689,NA
